book_title,book_author,book_translator,book_pub_date,book_isbn
재미있고 빠른 첫 한글 4권 쌍자음∙받침,한빛학습연구회 ,,2020-07-20,9791162243268
회사에서 바로 통하는 실무 엑셀 매크로&VBA,김경자 ,,2020-08-20,9791162243428
포르잔 C++ 바이블,"Behrouz A. Forouzan , Richard F. Gilberg ",,2020-08-31,9791156645030
GAN 인 액션,"야쿠프 란그르 , 블라디미르 보크 ",,2020-09-17,9791162243435
우리 아이 처음 놀이,"이현주(느림보juliee) , 김소은(버터와소) -그림 ",,2020-07-20,9791190846028
만화로 보는 바빌론 부자들의 돈 버는 지혜,"조지 S. 클래이슨 , 사카노 아사히(만화) , 오하시 코스케(기획, 각본) ",,2020-09-14,9791157844456
"3D 프린터 101 : 기초부터 활용까지, 3D 프린터의 모든 것(개정판)",안상준 ,,2018-07-15,9791162240793
배워서 바로 쓰는 스프링 프레임워크,"애시시 사린 , 제이 샤르마 ",,2020-05-01,9791162243046
만들면서 배우는 워드프레스 (개정2판),박현우 ,,2020-05-11,9791162243084
이더리움 디앱 개발,로베르토 인판테 ,,2020-06-04,9791162243145
이것이 MySQL이다(개정판),우재남 ,,2020-05-10,9791162242780
핸즈온 머신러닝(2판),오렐리앙 제롱(Aurélien Géron) ,,2020-05-04,9791162242964
BPF로 리눅스 관측 가능성 향상하기,"데이비드 칼라베라 , 로렌초 폰타나 ",,2020-05-01,9791162243053
딥러닝과 바둑,"막스 펌펄라 , 케빈 퍼거슨 ",,2020-06-01,9791162243152
Maker Pro : 메이커 프로,존 베이첼 ,,2015-07-28,9788968482038
처음 시작하는 센서,"키모 카르비넨 , 테로 카르비넨 ",,2015-02-25,9788968481697
Zero to Maker: 누구나 메이커가 될 수 있다,데이비드 랭 ,,2015-02-27,9788968481710
프로젝트로 배우는 라즈베리 파이,도날드 노리스 ,,2015-04-24,9788968481888
실전 자바 소프트웨어 개발,"라울-게이브리얼 우르마 , 리처드 워버턴 ",,2020-06-20,9791162243176
Make: 라즈베리 파이 로봇,볼프람 도낫 ,,2015-08-27,9788968482144
클라우드 네이티브,"보리스 숄 , 트렌트 스완슨 , 피터 야우쇼베츠 ",,2020-06-13,9791162243183
Make: 센서,"테로 카르비넨 , 키모 카르비넨 , 빌리 발토카리 ",,2015-09-28,9788968482205
사진으로 다른 그림 찾기(똑똑한 두뇌연습 만 4~6세),한빛학습연구회 ,,2019-07-01,9791162241967
숨은 그림 찾기(똑똑한 두뇌연습 만 4~6세),한빛학습연구회 ,,2019-08-12,9791162242049
일상 무기 제작법 1 : 생활용품으로 전투 무기 만들기,존 오스틴 ,,2015-10-06,9788968482151
회사에서 바로 통하는 엑셀 함수 실무 강의,"김경자 , 송선영 ",,2017-05-31,9788968488054
회사에서 바로 통하는 엑셀 데이터 활용+분석,"김경자 , 송선영 ",,2016-06-30,9788968482823
회사에서 바로 통하는 실무 엑셀 데이터 활용+분석,"김경자 , 송선영 ",,2019-06-10,9791162241851
3D 프린팅을 위한 스케치업,리디아 클라인 ,,2017-05-01,9788968483578
전자부품 백과사전 vol.2 : 신호 처리,찰스 플랫 ,,2015-12-01,9788968482373
골빈해커의 3분 딥러닝,김진중(골빈해커) ,,2017-09-25,9791162240137
33가지 프로젝트로 배우는 아두이노,사이먼 몽크 ,,2014-05-20,9788968481000
"IT CookBook, R로 배우는 딥러닝","박혜정 , 석경하 , 심주용 , 황창하 ",,2018-06-30,9791156644095
"IT CookBook, 텐서플로로 배우는 딥러닝","박혜정 , 석경하 , 심주용 , 황창하 ",,2019-06-30,9791156644538
라즈베리 파이 쿡북,사이먼 몽크 ,,2014-12-26,9788968481536
만들면서 배우는 워드프레스(개정판),박현우 ,,2018-07-25,9791162240946
Make : 아두이노 DIY 프로젝트,"키모 카르비넨 , 테로 카르비넨 ",,2014-01-02,9788968480737
Make: Technology on Your Time Volume 02,오라일리 / 메이크 미디어 (Make Media) ,,2011-09-06,9788979148411
처음 배우는 머신러닝,"김승연 , 정용주 ",,2017-10-01,9791162240045
Make: Technology on Your Time Volume 01,오라일리 / 메이크 미디어 (Make Media) ,,2011-05-09,9788979147728
메이커 운동 선언 : 테크숍 CEO가 말하는 미래를 지배할 혁신의 원칙,마크 해치 ,,2014-05-20,9788968480980
회사에서 바로 통하는 엑셀 실무 강의,전미진 ,,2016-09-08,9788968484919
"모던 자바 인 액션 : 람다, 스트림, 함수형, 리액티브 프로그래밍으로 새로워진 자바 마스터하기","라울-게이브리얼 우르마 , 마리오 푸스코 , 앨런 마이크로프트 ",,2019-08-01,9791162242025
소문난 명강의 : 김도형의 데이터 사이언스 스쿨(수학 편),김도형 ,,2019-11-20,9791162242414
클라우드 네이티브,"보리스 숄 , 트렌트 스완슨 , 피터 야우쇼베츠 ",,2020-06-13,9791162243183
전자부품 백과사전 vol.1 : 전력 전원 및 변환,찰스 플랫 ,,2014-12-26,9788968481505
딥러닝 첫걸음,김성필 ,,2016-12-30,9788968487323
밑바닥부터 시작하는 딥러닝,사이토 고키 ,,2017-01-03,9788968484636
아이와 함께 할 수 있는 50가지 위험한 실험,"게버 털리 , 줄리 스피글러 ",,2013-04-21,9788968480089
미술관에 GAN 딥러닝 실전 프로젝트,데이비드 포스터 ,,2019-11-15,9791162241080
밑바닥부터 시작하는 딥러닝 2,사이토 고키 ,,2019-05-01,9791162241745
회사에서 바로 통하는 엑셀 함수 실무 강의,"김경자 , 송선영 ",,2017-05-31,9788968488054
"3D 프린터 101 : 기초부터 활용까지, 3D 프린터의 모든 것(개정판)",안상준 ,,2018-07-15,9791162240793
딥러닝의 정석,니킬 부두마 ,,2018-02-26,9791162240519
3D 프린터 101,"안상준 , 정재학 ",,2017-03-02,9788968483424
3D 프린터 101,"안상준 , 정재학 ",,2017-03-02,9788968483424
Make : Technology on Your Time Volume 06,메이커 미디어 ,,2013-05-21,9788968480188
Make : Technology on Your Time Volume 07,메이커 미디어 ,,2013-12-28,9788968480669
한 권으로 끝내는 딥러닝 텐서플로,"바라스 람순다르 Bharath Ramsundar , 레자 자데 Reza Bosagh Zadeh ",,2018-11-05,9791162241226
파이썬 라이브러리를 활용한 머신러닝,"안드레아스 뮐러 , 세라 가이도 ",,2017-07-01,9788968483394
파이썬 날코딩으로 알고 짜는 딥러닝,윤덕호 ,,2019-07-15,9791162242001
신경망 첫걸음,타리크 라시드 ,,2017-04-03,9788968483509
텐서플로 첫걸음,조르디 토레스 ,,2016-08-29,9788968484902
회사에서 바로 통하는 엑셀 실무 강의,전미진 ,,2018-08-30,9791162241004
Make: Technology on Your Time Volume 03,오라일리 / 메이크 미디어 (Make Media) ,,2012-04-02,9788979149128
칼만 필터는 어렵지 않아 with MATLAB Examples,김성필 ,,2019-05-20,9791156644415
Make: Technology on Your Time Volume 04,오라일리 / 메이크 미디어 (Make Media) ,,2012-09-28,9788979149586
Make: Technology on Your Time Volume 08,메이크 미디어 (Make Media) ,,2015-06-28,9788968480836
회사에서 바로 통하는 엑셀 실무 강의,전미진 ,,2016-09-08,9788968484919
회사에서 바로 통하는 실무 엑셀 데이터 활용+분석,"김경자 , 송선영 ",,2019-06-10,9791162241851
회사에서 바로 통하는 엑셀 데이터 활용+분석,"김경자 , 송선영 ",,2016-06-30,9788968482823
혼자 공부하는 자바,신용권 ,,2019-06-10,9791162241875
처음 배우는 인공지능,다다 사토시 ,,2017-06-01,9788968483318
엑셀 2016 함수&수식 바이블,최준선 ,,2018-05-04,9791162240724
엑셀 피벗&파워 쿼리 바이블,최준선 ,,2017-11-05,9791162240083
3D 프린팅을 위한 스케치업,리디아 클라인 ,,2017-05-01,9788968483578
러닝 텐서플로,"톰 호프 , 예헤즈켈 레셰프 , 이타이 리더 ",,2018-05-04,9791162240687
엑셀 2016 매크로&VBA 바이블,최준선 ,,2016-02-26,9788968482670
파이썬 라이브러리를 활용한 머신러닝(번역개정판) : 사이킷런 핵심 개발자가 쓴 머신러닝과 데이터 과학 실무서,"안드레아스 뮐러 , 세라 가이도 ",,2019-03-29,9791162241646
"모던 자바 인 액션 : 람다, 스트림, 함수형, 리액티브 프로그래밍으로 새로워진 자바 마스터하기","라울-게이브리얼 우르마 , 마리오 푸스코 , 앨런 마이크로프트 ",,2019-08-01,9791162242025
엑셀 2016 바이블,최준선 ,,2016-09-30,9788968484827
딥러닝의 정석,니킬 부두마 ,,2018-02-26,9791162240519
텐서플로 첫걸음,조르디 토레스 ,,2016-08-29,9788968484902
아두이노 101,서영배 ,,2016-10-15,9788968484780
딥러닝 첫걸음,김성필 ,,2016-12-30,9788968487323
밑바닥부터 시작하는 딥러닝,사이토 고키 ,,2017-01-03,9788968484636
